,number_of_incidents,code,year,month
265,28,00b,2016,07
266,25,00b,2016,08
267,34,00b,2016,09
268,28,00b,2016,10
269,26,00b,2016,11
270,38,00b,2016,12
271,33,00b,2017,01
272,22,00b,2017,02
273,1,00c,2005,04
274,2,00c,2005,05
275,4,00c,2005,06
276,4,00c,2005,07
277,2,00c,2005,08
278,1,00c,2005,09
279,5,00c,2005,10
280,8,00c,2005,11
281,4,00c,2005,12
282,2,00c,2006,01
283,1,00c,2006,02
284,4,00c,2006,03
285,2,00c,2006,04
286,1,00c,2006,05
287,6,00c,2006,08
288,2,00c,2006,09
289,4,00c,2006,10
290,3,00c,2006,12
291,3,00c,2007,01
292,1,00c,2007,02
293,2,00c,2007,03
294,2,00c,2007,04
295,1,00c,2007,05
296,4,00c,2007,06
297,4,00c,2007,07
298,2,00c,2007,08
299,2,00c,2007,09
300,5,00c,2007,11
301,3,00c,2007,12
302,6,00c,2008,01
303,7,00c,2008,02
304,5,00c,2008,03
305,3,00c,2008,04
306,4,00c,2008,05
307,4,00c,2008,06
308,8,00c,2008,07
309,7,00c,2008,08
310,1,00c,2008,09
311,1,00c,2008,10
312,3,00c,2008,11
313,6,00c,2008,12
314,6,00c,2009,01
315,2,00c,2009,02
316,6,00c,2009,03
317,2,00c,2009,04
318,2,00c,2009,05
319,5,00c,2009,06
320,2,00c,2009,07
321,2,00c,2009,08
322,3,00c,2009,09
323,6,00c,2009,11
324,4,00c,2009,12
325,2,00c,2010,02
326,5,00c,2010,03
327,1,00c,2010,04
328,1,00c,2010,05
329,3,00c,2010,06
330,4,00c,2010,07
331,1,00c,2010,08
332,7,00c,2010,10
333,5,00c,2010,11
334,6,00c,2010,12
335,6,00c,2011,01
336,3,00c,2011,02
337,1,00c,2011,04
338,2,00c,2011,05
339,2,00c,2011,06
340,4,00c,2011,07
341,4,00c,2011,08
342,2,00c,2011,09
343,2,00c,2011,10
344,2,00c,2011,11
345,1,00c,2012,01
346,1,00c,2012,02
347,1,00c,2012,03
348,1,00c,2012,04
349,1,00c,2012,06
350,5,00c,2012,07
351,3,00c,2012,10
352,2,00c,2012,11
353,3,00c,2012,12
354,3,00c,2013,01
355,3,00c,2013,02
356,3,00c,2013,03
357,3,00c,2013,04
358,2,00c,2013,05
359,11,00c,2013,06
360,7,00c,2013,07
361,8,00c,2013,08
362,18,00c,2013,09
363,13,00c,2013,10
364,18,00c,2013,11
365,7,00c,2013,12
366,17,00c,2014,01
367,12,00c,2014,02
368,9,00c,2014,03
369,16,00c,2014,04
370,9,00c,2014,05
371,4,00c,2014,06
372,7,00c,2014,07
373,6,00c,2014,08
374,11,00c,2014,09
375,17,00c,2014,10
376,17,00c,2014,11
377,5,00c,2014,12
378,8,00c,2015,01
379,6,00c,2015,02
380,6,00c,2015,03
381,10,00c,2015,04
382,5,00c,2015,05
383,8,00c,2015,06
384,6,00c,2015,07
385,9,00c,2015,08
386,11,00c,2015,09
387,13,00c,2015,10
388,18,00c,2015,11
389,23,00c,2015,12
390,16,00c,2016,01
391,8,00c,2016,02
392,16,00c,2016,03
393,12,00c,2016,04
394,7,00c,2016,05
395,6,00c,2016,06
396,8,00c,2016,07
397,7,00c,2016,08
398,16,00c,2016,09
399,15,00c,2016,10
400,7,00c,2016,11
401,12,00c,2016,12
402,12,00c,2017,01
403,6,00c,2017,02
404,2,00d,2005,04
405,9,00d,2005,06
406,1,00d,2005,07
407,1,00d,2005,09
408,5,00d,2005,10
409,2,00d,2005,12
410,1,00d,2006,03
411,2,00d,2006,05
412,2,00d,2006,06
413,3,00d,2006,07
414,4,00d,2006,08
415,1,00d,2006,09
416,1,00d,2006,10
417,2,00d,2006,11
418,1,00d,2006,12
419,5,00d,2007,01
420,3,00d,2007,02
421,2,00d,2007,03
422,3,00d,2007,04
423,2,00d,2007,05
424,2,00d,2007,06
425,5,00d,2007,07
