,number_of_incidents,code,year,month,hour
0,1,00a,2005,04,0
1,1,00a,2005,04,1
2,1,00a,2005,04,13
3,1,00a,2005,04,17
4,1,00a,2005,04,2
5,1,00a,2005,05,16
6,1,00a,2005,06,20
7,1,00a,2005,07,2
8,1,00a,2005,08,3
9,1,00a,2005,08,9
10,1,00a,2005,09,0
11,1,00a,2005,10,14
12,1,00a,2005,10,15
13,1,00a,2005,10,2
14,1,00a,2005,11,11
15,1,00a,2005,11,12
16,1,00a,2005,11,19
17,1,00a,2005,12,18
18,1,00a,2006,01,10
19,1,00a,2006,03,17
20,1,00a,2006,03,21
21,1,00a,2006,03,23
22,2,00a,2006,05,9
23,1,00a,2006,06,10
24,1,00a,2006,06,12
25,1,00a,2006,06,20
26,1,00a,2006,06,3
27,1,00a,2006,06,9
28,1,00a,2006,07,15
29,1,00a,2006,07,17
30,1,00a,2006,08,11
31,1,00a,2006,08,15
32,1,00a,2006,08,3
33,1,00a,2006,08,5
34,1,00a,2006,09,17
35,1,00a,2006,10,10
36,1,00a,2006,10,20
37,1,00a,2006,11,20
38,1,00a,2006,12,11
39,1,00a,2006,12,13
40,1,00a,2006,12,7
41,1,00a,2007,01,21
42,1,00a,2007,03,21
43,1,00a,2007,04,13
44,1,00a,2007,04,17
45,1,00a,2007,04,18
46,1,00a,2007,04,21
47,1,00a,2007,05,13
48,1,00a,2007,05,16
49,1,00a,2007,05,17
50,1,00a,2007,06,16
51,1,00a,2007,10,12
52,1,00a,2007,10,22
53,1,00a,2007,11,1
54,1,00a,2007,12,15
55,1,00a,2008,01,16
56,1,00a,2008,01,22
57,1,00a,2008,02,3
58,1,00a,2008,03,16
59,1,00a,2008,04,21
60,1,00a,2008,07,12
61,1,00a,2008,07,20
62,1,00a,2008,07,21
63,1,00a,2008,07,9
64,1,00a,2008,08,12
65,1,00a,2008,08,9
66,1,00a,2008,09,1
67,1,00a,2008,09,2
68,1,00a,2008,09,21
69,1,00a,2008,10,10
70,1,00a,2008,10,12
71,1,00a,2008,10,15
72,1,00a,2008,11,14
73,1,00a,2008,11,19
74,1,00a,2008,11,2
75,1,00a,2008,12,11
76,1,00a,2008,12,14
77,1,00a,2008,12,20
78,1,00a,2008,12,21
79,1,00a,2009,01,20
80,1,00a,2009,01,23
81,1,00a,2009,02,10
82,1,00a,2009,02,4
83,1,00a,2009,02,8
84,1,00a,2009,02,9
85,1,00a,2009,03,11
86,1,00a,2009,03,22
87,1,00a,2009,04,14
88,1,00a,2009,04,16
89,1,00a,2009,04,23
90,1,00a,2009,05,11
91,1,00a,2009,05,18
92,1,00a,2009,05,20
93,1,00a,2009,05,21
94,1,00a,2009,06,13
95,1,00a,2009,07,8
96,1,00a,2009,08,11
97,1,00a,2009,09,14
98,1,00a,2009,09,19
99,1,00a,2009,09,7
100,1,00a,2009,10,18
101,1,00a,2009,11,21
102,1,00a,2009,12,14
103,1,00a,2009,12,21
104,1,00a,2009,12,8
105,1,00a,2010,01,12
106,1,00a,2010,01,13
107,1,00a,2010,01,4
108,1,00a,2010,02,14
109,1,00a,2010,02,18
110,1,00a,2010,02,22
111,1,00a,2010,03,0
112,1,00a,2010,03,10
113,1,00a,2010,03,11
114,2,00a,2010,04,11
115,1,00a,2010,04,2
116,1,00a,2010,05,15
117,1,00a,2010,05,6
118,1,00a,2010,06,19
119,1,00a,2010,07,0
120,1,00a,2010,07,1
121,1,00a,2010,07,22
122,1,00a,2010,07,23
123,1,00a,2010,08,19
124,1,00a,2010,09,14
125,1,00a,2010,10,19
126,1,00a,2010,10,2
127,1,00a,2010,11,0
128,1,00a,2010,12,10
129,1,00a,2010,12,16
130,1,00a,2010,12,19
131,1,00a,2010,12,22
132,1,00a,2011,01,20
133,1,00a,2011,01,9
134,1,00a,2011,02,20
135,1,00a,2011,04,11
136,1,00a,2011,04,14
137,2,00a,2011,04,21
138,1,00a,2011,04,9
139,1,00a,2011,05,18
140,1,00a,2011,05,20
141,1,00a,2011,06,15
142,1,00a,2011,06,16
143,1,00a,2011,06,23
144,1,00a,2011,06,3
145,1,00a,2011,07,4
146,1,00a,2011,09,0
147,1,00a,2011,09,17
148,1,00a,2011,10,2
149,1,00a,2011,10,22
150,1,00a,2011,11,12
151,1,00a,2011,11,22
152,2,00a,2011,12,17
153,1,00a,2012,02,0
154,1,00a,2012,02,11
155,1,00a,2012,02,18
156,1,00a,2012,02,19
157,1,00a,2012,02,21
158,1,00a,2012,02,23
159,1,00a,2012,03,20
160,1,00a,2012,03,3
161,1,00a,2012,04,19
162,1,00a,2012,04,23
163,1,00a,2012,05,11
164,1,00a,2012,05,14
165,1,00a,2012,06,13
166,1,00a,2012,06,20
167,1,00a,2012,07,13
168,1,00a,2012,07,23
169,1,00a,2012,07,6
170,1,00a,2012,08,11
171,2,00a,2012,08,18
172,1,00a,2012,09,7
173,1,00a,2012,10,10
174,2,00a,2012,10,20
175,1,00a,2012,10,8
176,1,00a,2012,11,16
177,1,00a,2012,12,5
178,1,00a,2013,01,0
179,1,00a,2013,01,18
180,1,00a,2013,01,9
181,1,00a,2013,02,0
182,1,00a,2013,02,21
183,1,00a,2013,03,11
184,1,00a,2013,03,12
185,1,00a,2013,03,15
186,1,00a,2013,03,16
187,1,00a,2013,03,17
188,1,00a,2013,04,15
189,1,00a,2013,04,18
190,1,00a,2013,04,21
191,1,00a,2013,04,22
192,1,00a,2013,05,1
193,1,00a,2013,05,11
194,2,00a,2013,05,17
195,1,00a,2013,05,20
196,2,00a,2013,06,1
197,2,00a,2013,06,11
198,2,00a,2013,06,12
199,2,00a,2013,06,13
200,2,00a,2013,06,14
201,2,00a,2013,06,15
202,2,00a,2013,06,16
203,2,00a,2013,06,18
204,1,00a,2013,06,19
205,1,00a,2013,06,2
206,3,00a,2013,06,20
207,3,00a,2013,06,23
208,1,00a,2013,06,3
209,2,00a,2013,06,8
210,1,00a,2013,06,9
211,3,00a,2013,07,1
212,4,00a,2013,07,10
213,1,00a,2013,07,11
214,2,00a,2013,07,13
215,1,00a,2013,07,14
216,1,00a,2013,07,15
217,1,00a,2013,07,16
218,4,00a,2013,07,17
219,3,00a,2013,07,19
220,1,00a,2013,07,2
221,1,00a,2013,07,20
222,1,00a,2013,07,21
223,2,00a,2013,07,22
224,2,00a,2013,07,23
225,3,00a,2013,07,8
226,1,00a,2013,07,9
227,1,00a,2013,08,0
228,1,00a,2013,08,1
229,1,00a,2013,08,11
230,1,00a,2013,08,12
231,1,00a,2013,08,14
232,3,00a,2013,08,16
233,2,00a,2013,08,17
234,1,00a,2013,08,2
235,1,00a,2013,08,20
236,1,00a,2013,08,21
237,1,00a,2013,08,22
238,1,00a,2013,08,23
239,1,00a,2013,08,3
240,1,00a,2013,08,4
241,2,00a,2013,08,8
242,3,00a,2013,08,9
243,1,00a,2013,09,0
244,4,00a,2013,09,10
245,1,00a,2013,09,12
246,1,00a,2013,09,13
247,1,00a,2013,09,14
248,1,00a,2013,09,15
249,1,00a,2013,09,16
250,1,00a,2013,09,17
251,1,00a,2013,09,18
252,1,00a,2013,09,19
253,2,00a,2013,09,22
254,1,00a,2013,09,23
255,1,00a,2013,09,3
256,1,00a,2013,09,4
257,2,00a,2013,09,7
258,1,00a,2013,09,8
259,1,00a,2013,09,9
260,2,00a,2013,10,0
261,4,00a,2013,10,10
262,4,00a,2013,10,11
263,3,00a,2013,10,12
264,4,00a,2013,10,13
265,6,00a,2013,10,14
266,3,00a,2013,10,15
267,4,00a,2013,10,16
268,2,00a,2013,10,17
269,2,00a,2013,10,18
270,3,00a,2013,10,20
271,2,00a,2013,10,21
272,2,00a,2013,10,7
273,1,00a,2013,10,8
274,2,00a,2013,10,9
275,1,00a,2013,11,1
276,8,00a,2013,11,10
277,2,00a,2013,11,11
278,8,00a,2013,11,12
279,3,00a,2013,11,13
280,4,00a,2013,11,14
281,5,00a,2013,11,15
282,3,00a,2013,11,16
283,1,00a,2013,11,17
284,4,00a,2013,11,18
285,2,00a,2013,11,19
286,2,00a,2013,11,2
287,3,00a,2013,11,21
288,1,00a,2013,11,23
289,1,00a,2013,11,4
290,1,00a,2013,11,5
291,1,00a,2013,11,7
292,5,00a,2013,11,8
293,1,00a,2013,11,9
294,1,00a,2013,12,0
295,1,00a,2013,12,1
296,3,00a,2013,12,10
297,5,00a,2013,12,11
298,2,00a,2013,12,12
299,2,00a,2013,12,13
300,1,00a,2013,12,14
301,1,00a,2013,12,15
302,2,00a,2013,12,16
303,1,00a,2013,12,17
304,2,00a,2013,12,18
305,3,00a,2013,12,19
306,3,00a,2013,12,20
307,4,00a,2013,12,21
308,4,00a,2013,12,22
309,4,00a,2013,12,23
310,3,00a,2013,12,4
311,1,00a,2013,12,7
312,1,00a,2013,12,8
313,3,00a,2013,12,9
314,2,00a,2014,01,0
315,2,00a,2014,01,1
316,2,00a,2014,01,10
317,6,00a,2014,01,11
318,4,00a,2014,01,12
319,1,00a,2014,01,14
320,1,00a,2014,01,15
321,1,00a,2014,01,16
322,1,00a,2014,01,17
323,1,00a,2014,01,19
324,2,00a,2014,01,21
325,2,00a,2014,01,22
326,2,00a,2014,01,23
327,1,00a,2014,01,3
328,1,00a,2014,01,4
329,1,00a,2014,01,7
330,1,00a,2014,02,0
331,1,00a,2014,02,10
332,4,00a,2014,02,11
333,2,00a,2014,02,12
334,2,00a,2014,02,13
335,1,00a,2014,02,14
336,1,00a,2014,02,15
337,3,00a,2014,02,18
338,1,00a,2014,02,19
339,3,00a,2014,02,20
340,2,00a,2014,02,21
341,1,00a,2014,02,22
342,1,00a,2014,02,23
343,1,00a,2014,03,1
344,4,00a,2014,03,10
345,3,00a,2014,03,12
346,4,00a,2014,03,13
347,2,00a,2014,03,14
348,2,00a,2014,03,15
349,1,00a,2014,03,16
350,1,00a,2014,03,17
351,6,00a,2014,03,19
352,1,00a,2014,03,2
353,1,00a,2014,03,20
354,4,00a,2014,03,9
355,2,00a,2014,04,10
356,1,00a,2014,04,11
357,2,00a,2014,04,12
358,1,00a,2014,04,13
359,1,00a,2014,04,14
360,2,00a,2014,04,16
361,1,00a,2014,04,17
362,2,00a,2014,04,18
363,2,00a,2014,04,2
364,1,00a,2014,04,21
365,1,00a,2014,04,23
366,1,00a,2014,04,3
367,1,00a,2014,04,8
368,1,00a,2014,05,0
369,1,00a,2014,05,1
370,1,00a,2014,05,12
371,1,00a,2014,05,14
372,1,00a,2014,05,15
373,1,00a,2014,05,17
374,2,00a,2014,05,2
375,1,00a,2014,05,21
376,1,00a,2014,05,23
377,1,00a,2014,05,8
378,1,00a,2014,05,9
379,1,00a,2014,06,10
380,2,00a,2014,06,13
381,2,00a,2014,06,14
382,1,00a,2014,06,17
383,1,00a,2014,06,18
384,1,00a,2014,06,2
385,1,00a,2014,06,22
386,1,00a,2014,06,23
387,1,00a,2014,06,4
388,1,00a,2014,06,5
389,1,00a,2014,07,1
390,1,00a,2014,07,10
391,4,00a,2014,07,11
392,1,00a,2014,07,13
393,2,00a,2014,07,15
394,1,00a,2014,07,16
395,1,00a,2014,07,20
396,1,00a,2014,07,21
397,1,00a,2014,07,22
398,1,00a,2014,07,3
399,1,00a,2014,07,7
400,1,00a,2014,07,8
401,2,00a,2014,08,0
402,3,00a,2014,08,1
403,1,00a,2014,08,10
404,1,00a,2014,08,11
405,1,00a,2014,08,13
406,1,00a,2014,08,14
407,1,00a,2014,08,18
408,1,00a,2014,08,19
409,1,00a,2014,08,21
410,2,00a,2014,08,23
411,1,00a,2014,08,3
412,2,00a,2014,08,4
413,1,00a,2014,08,6
414,1,00a,2014,08,8
415,3,00a,2014,09,10
416,2,00a,2014,09,14
417,1,00a,2014,09,16
418,1,00a,2014,09,17
419,1,00a,2014,09,6
420,2,00a,2014,10,0
421,2,00a,2014,10,11
422,1,00a,2014,10,15
423,1,00a,2014,10,17
424,2,00a,2014,10,18
425,1,00a,2014,10,19
426,1,00a,2014,10,23
427,1,00a,2014,10,9
428,4,00a,2014,11,11
429,4,00a,2014,11,12
430,1,00a,2014,11,13
431,1,00a,2014,11,14
432,2,00a,2014,11,15
433,3,00a,2014,11,16
434,2,00a,2014,11,17
435,2,00a,2014,11,18
436,1,00a,2014,11,19
437,1,00a,2014,11,2
438,2,00a,2014,11,20
439,1,00a,2014,11,21
440,2,00a,2014,11,22
441,2,00a,2014,11,3
442,1,00a,2014,12,0
443,1,00a,2014,12,1
444,1,00a,2014,12,10
445,1,00a,2014,12,11
446,2,00a,2014,12,12
447,1,00a,2014,12,13
448,3,00a,2014,12,14
449,2,00a,2014,12,15
450,1,00a,2014,12,16
451,1,00a,2014,12,17
452,2,00a,2014,12,20
453,2,00a,2014,12,21
454,1,00a,2014,12,22
455,2,00a,2014,12,9
456,2,00a,2015,01,10
457,1,00a,2015,01,11
458,1,00a,2015,01,15
459,1,00a,2015,01,16
460,1,00a,2015,01,17
461,1,00a,2015,01,20
462,1,00a,2015,01,21
463,1,00a,2015,01,3
464,2,00a,2015,01,9
465,2,00a,2015,02,10
466,1,00a,2015,02,11
467,1,00a,2015,02,12
468,1,00a,2015,02,14
469,1,00a,2015,02,15
470,2,00a,2015,02,17
471,1,00a,2015,02,18
472,2,00a,2015,02,19
473,1,00a,2015,02,23
474,1,00a,2015,02,9
475,1,00a,2015,03,1
476,1,00a,2015,03,10
477,2,00a,2015,03,11
478,2,00a,2015,03,12
479,1,00a,2015,03,13
480,1,00a,2015,03,16
481,1,00a,2015,03,17
482,1,00a,2015,03,19
483,1,00a,2015,03,22
484,1,00a,2015,03,5
485,1,00a,2015,03,7
486,3,00a,2015,03,8
487,1,00a,2015,03,9
488,1,00a,2015,04,1
489,1,00a,2015,04,10
490,1,00a,2015,04,11
491,1,00a,2015,04,12
492,2,00a,2015,04,14
493,1,00a,2015,04,18
494,1,00a,2015,04,2
495,1,00a,2015,04,21
496,1,00a,2015,04,8
497,1,00a,2015,05,0
498,1,00a,2015,05,10
499,1,00a,2015,05,13
500,1,00a,2015,05,16
501,2,00a,2015,05,17
502,1,00a,2015,05,18
503,1,00a,2015,05,22
504,1,00a,2015,05,23
505,1,00a,2015,05,4
506,1,00a,2015,05,9
507,2,00a,2015,06,0
508,1,00a,2015,06,1
509,1,00a,2015,06,11
510,1,00a,2015,06,12
511,1,00a,2015,06,13
512,1,00a,2015,06,14
513,1,00a,2015,06,2
514,1,00a,2015,06,9
515,2,00a,2015,07,0
516,1,00a,2015,07,11
517,3,00a,2015,07,13
518,2,00a,2015,07,14
519,1,00a,2015,07,15
520,1,00a,2015,07,16
521,1,00a,2015,07,17
522,1,00a,2015,07,3
523,2,00a,2015,07,9
524,2,00a,2015,08,11
525,1,00a,2015,08,12
526,1,00a,2015,08,13
527,1,00a,2015,08,14
528,1,00a,2015,08,16
529,2,00a,2015,08,18
530,1,00a,2015,08,4
531,1,00a,2015,08,8
532,1,00a,2015,08,9
533,1,00a,2015,09,10
534,1,00a,2015,09,12
535,1,00a,2015,09,13
536,2,00a,2015,09,14
537,1,00a,2015,09,19
538,1,00a,2015,09,20
539,2,00a,2015,09,22
540,1,00a,2015,09,9
541,2,00a,2015,10,1
542,1,00a,2015,10,11
543,1,00a,2015,10,12
544,1,00a,2015,10,14
545,1,00a,2015,10,19
546,2,00a,2015,10,20
547,1,00a,2015,10,21
548,1,00a,2015,10,22
549,1,00a,2015,10,5
550,1,00a,2015,10,8
551,1,00a,2015,11,11
552,1,00a,2015,11,14
553,2,00a,2015,11,16
554,1,00a,2015,11,17
555,1,00a,2015,11,18
556,1,00a,2015,11,19
557,1,00a,2015,11,20
558,2,00a,2015,11,21
559,3,00a,2015,11,23
560,1,00a,2015,11,3
561,1,00a,2015,12,1
562,5,00a,2015,12,10
563,1,00a,2015,12,18
564,1,00a,2015,12,19
565,1,00a,2015,12,2
566,2,00a,2015,12,21
567,2,00a,2015,12,22
568,1,00a,2015,12,23
569,1,00a,2015,12,9
570,3,00a,2016,01,1
571,1,00a,2016,01,10
572,1,00a,2016,01,11
573,1,00a,2016,01,13
574,1,00a,2016,01,14
575,2,00a,2016,01,15
576,1,00a,2016,01,18
577,1,00a,2016,01,22
578,1,00a,2016,01,5
579,1,00a,2016,01,7
580,1,00a,2016,01,8
581,1,00a,2016,01,9
582,1,00a,2016,02,11
583,1,00a,2016,02,20
584,1,00a,2016,02,6
585,1,00a,2016,02,7
586,2,00a,2016,02,8
587,1,00a,2016,02,9
588,2,00a,2016,03,11
589,2,00a,2016,03,12
590,1,00a,2016,03,14
591,1,00a,2016,03,15
592,2,00a,2016,03,19
593,2,00a,2016,03,4
594,1,00a,2016,03,8
595,1,00a,2016,03,9
596,1,00a,2016,04,10
597,1,00a,2016,04,11
598,3,00a,2016,04,12
599,2,00a,2016,04,17
600,1,00a,2016,04,2
601,1,00a,2016,04,9
602,1,00a,2016,05,10
603,1,00a,2016,05,14
604,1,00a,2016,05,21
605,1,00a,2016,05,22
606,1,00a,2016,05,3
607,1,00a,2016,05,4
608,1,00a,2016,05,9
609,1,00a,2016,06,10
610,1,00a,2016,06,13
611,1,00a,2016,06,9
612,1,00a,2016,07,12
613,1,00a,2016,07,16
614,2,00a,2016,07,2
615,1,00a,2016,07,20
616,1,00a,2016,07,21
617,1,00a,2016,07,22
618,1,00a,2016,07,7
619,2,00a,2016,07,8
620,2,00a,2016,07,9
621,1,00a,2016,08,0
622,1,00a,2016,08,10
623,1,00a,2016,08,14
624,1,00a,2016,08,15
625,1,00a,2016,08,3
626,2,00a,2016,08,7
627,2,00a,2016,08,8
628,1,00a,2016,09,0
629,1,00a,2016,09,1
630,1,00a,2016,09,12
631,1,00a,2016,09,16
632,2,00a,2016,09,21
633,1,00a,2016,10,18
634,1,00a,2016,10,4
635,1,00a,2016,11,1
636,1,00a,2016,11,11
637,1,00a,2016,11,14
638,1,00a,2016,11,15
639,2,00a,2016,11,21
640,2,00a,2016,11,9
641,1,00a,2016,12,10
642,1,00a,2016,12,14
643,1,00a,2016,12,18
644,1,00a,2016,12,20
645,2,00a,2016,12,23
646,1,00a,2016,12,5
647,1,00a,2017,01,0
648,2,00a,2017,01,21
649,1,00a,2017,02,14
650,1,00b,2005,04,16
651,2,00b,2005,04,20
652,1,00b,2005,04,21
653,1,00b,2005,04,22
654,2,00b,2005,04,7
655,1,00b,2005,05,15
656,2,00b,2005,05,16
657,1,00b,2005,05,20
658,1,00b,2005,06,13
659,1,00b,2005,06,16
660,1,00b,2005,06,17
661,1,00b,2005,06,21
662,2,00b,2005,06,23
663,1,00b,2005,06,3
664,1,00b,2005,06,4
665,1,00b,2005,06,8
666,1,00b,2005,07,15
667,1,00b,2005,07,21
668,1,00b,2005,08,11
669,1,00b,2005,08,19
670,1,00b,2005,08,20
671,1,00b,2005,09,19
672,1,00b,2005,10,0
673,1,00b,2005,10,1
674,1,00b,2005,10,10
675,1,00b,2005,10,2
676,1,00b,2005,10,23
677,1,00b,2005,10,9
678,1,00b,2005,11,16
679,1,00b,2005,11,20
680,2,00b,2005,11,21
681,1,00b,2005,11,23
682,2,00b,2005,12,18
683,1,00b,2005,12,7
684,1,00b,2005,12,9
685,1,00b,2006,01,0
686,1,00b,2006,02,21
687,1,00b,2006,02,4
688,1,00b,2006,03,12
689,1,00b,2006,03,3
690,1,00b,2006,04,11
691,1,00b,2006,04,15
692,1,00b,2006,04,22
693,1,00b,2006,05,0
694,1,00b,2006,05,19
695,2,00b,2006,06,13
696,2,00b,2006,06,14
697,1,00b,2006,06,20
698,1,00b,2006,06,23
699,1,00b,2006,06,7
700,1,00b,2006,07,15
701,1,00b,2006,07,2
702,1,00b,2006,07,22
703,1,00b,2006,07,9
704,1,00b,2006,08,1
705,2,00b,2006,08,15
706,1,00b,2006,09,1
707,1,00b,2006,09,11
708,1,00b,2006,10,19
709,1,00b,2006,10,8
710,1,00b,2006,11,13
711,1,00b,2006,11,14
712,1,00b,2006,11,17
713,1,00b,2006,11,21
714,1,00b,2006,12,10
715,1,00b,2006,12,11
716,1,00b,2006,12,14
717,1,00b,2006,12,18
718,1,00b,2007,01,0
719,1,00b,2007,01,1
720,2,00b,2007,01,22
721,1,00b,2007,01,7
722,1,00b,2007,01,9
723,1,00b,2007,02,11
724,1,00b,2007,02,14
725,1,00b,2007,02,18
726,1,00b,2007,02,19
727,3,00b,2007,03,16
728,1,00b,2007,03,2
729,1,00b,2007,03,20
730,1,00b,2007,03,23
731,1,00b,2007,03,6
732,1,00b,2007,04,18
733,1,00b,2007,04,21
734,1,00b,2007,05,12
735,1,00b,2007,05,17
736,1,00b,2007,05,2
737,3,00b,2007,05,21
738,1,00b,2007,05,22
739,1,00b,2007,06,0
740,1,00b,2007,06,15
741,1,00b,2007,06,18
742,1,00b,2007,06,20
743,1,00b,2007,06,22
744,1,00b,2007,06,3
745,1,00b,2007,07,16
746,1,00b,2007,07,17
747,1,00b,2007,07,21
748,1,00b,2007,07,3
749,1,00b,2007,08,16
750,1,00b,2007,08,9
751,1,00b,2007,09,10
752,2,00b,2007,09,17
753,1,00b,2007,09,18
754,1,00b,2007,09,22
755,1,00b,2007,10,18
756,1,00b,2007,11,11
757,1,00b,2007,11,4
758,1,00b,2007,12,23
759,1,00b,2007,12,3
760,1,00b,2007,12,7
761,2,00b,2008,01,1
762,1,00b,2008,01,12
763,1,00b,2008,01,17
764,1,00b,2008,01,22
765,1,00b,2008,01,23
766,1,00b,2008,02,11
767,1,00b,2008,02,18
768,1,00b,2008,02,7
769,1,00b,2008,02,9
770,1,00b,2008,03,22
771,2,00b,2008,04,11
772,1,00b,2008,04,15
773,1,00b,2008,04,17
774,1,00b,2008,04,23
775,1,00b,2008,05,1
776,2,00b,2008,05,14
777,1,00b,2008,05,20
778,1,00b,2008,05,21
779,1,00b,2008,06,10
780,2,00b,2008,06,19
781,1,00b,2008,06,20
782,1,00b,2008,07,23
783,1,00b,2008,07,5
784,1,00b,2008,08,10
785,1,00b,2008,08,22
786,1,00b,2008,08,7
787,1,00b,2008,09,18
788,1,00b,2008,09,5
789,1,00b,2008,09,6
790,1,00b,2008,10,12
791,1,00b,2008,10,17
792,1,00b,2008,10,18
793,1,00b,2008,10,20
794,1,00b,2008,11,0
795,1,00b,2008,11,10
796,1,00b,2008,11,13
797,1,00b,2008,11,19
798,1,00b,2008,11,22
799,2,00b,2008,12,0
800,1,00b,2008,12,1
801,2,00b,2008,12,20
802,1,00b,2008,12,21
803,1,00b,2008,12,8
804,1,00b,2009,01,2
805,1,00b,2009,01,21
806,1,00b,2009,02,18
807,1,00b,2009,02,21
808,1,00b,2009,03,0
809,1,00b,2009,03,1
810,1,00b,2009,03,11
811,1,00b,2009,03,17
812,1,00b,2009,03,18
813,1,00b,2009,03,9
814,1,00b,2009,04,18
815,1,00b,2009,04,19
816,1,00b,2009,04,23
817,2,00b,2009,04,4
818,1,00b,2009,05,19
819,1,00b,2009,05,5
820,1,00b,2009,06,14
821,1,00b,2009,06,16
822,1,00b,2009,06,20
823,1,00b,2009,06,3
824,1,00b,2009,06,6
825,1,00b,2009,07,0
826,1,00b,2009,07,19
827,1,00b,2009,07,22
828,1,00b,2009,08,13
829,1,00b,2009,08,2
830,1,00b,2009,08,5
831,1,00b,2009,09,11
832,1,00b,2009,09,17
833,1,00b,2009,09,23
834,1,00b,2009,10,10
835,2,00b,2009,10,11
836,1,00b,2009,10,12
837,1,00b,2009,10,14
838,3,00b,2009,10,17
839,1,00b,2009,10,21
840,2,00b,2009,10,3
841,1,00b,2009,11,13
842,1,00b,2009,11,3
843,1,00b,2009,11,5
844,1,00b,2009,11,6
845,1,00b,2009,11,7
846,1,00b,2009,12,8
847,1,00b,2010,01,17
848,1,00b,2010,01,2
849,1,00b,2010,01,23
850,1,00b,2010,01,6
851,2,00b,2010,02,1
852,1,00b,2010,02,16
853,1,00b,2010,02,2
854,1,00b,2010,02,21
855,1,00b,2010,02,22
856,1,00b,2010,02,8
857,1,00b,2010,03,0
858,2,00b,2010,03,11
859,1,00b,2010,03,15
860,1,00b,2010,03,18
861,1,00b,2010,03,9
862,1,00b,2010,04,0
863,1,00b,2010,04,11
864,1,00b,2010,04,15
865,1,00b,2010,04,17
866,1,00b,2010,04,23
867,1,00b,2010,04,7
868,3,00b,2010,05,2
869,1,00b,2010,05,20
870,1,00b,2010,05,22
871,1,00b,2010,05,23
872,2,00b,2010,05,7
873,2,00b,2010,06,12
874,1,00b,2010,06,13
875,1,00b,2010,06,22
876,1,00b,2010,06,3
877,1,00b,2010,07,11
878,2,00b,2010,07,13
879,1,00b,2010,07,20
880,2,00b,2010,07,23
881,1,00b,2010,08,1
882,1,00b,2010,08,10
883,1,00b,2010,08,11
884,1,00b,2010,08,19
885,1,00b,2010,08,3
886,1,00b,2010,08,4
887,2,00b,2010,08,5
888,1,00b,2010,08,6
889,1,00b,2010,09,2
890,1,00b,2010,09,22
891,1,00b,2010,10,18
892,1,00b,2010,10,19
893,1,00b,2010,10,5
894,1,00b,2010,12,14
895,1,00b,2010,12,16
896,1,00b,2010,12,21
897,1,00b,2010,12,23
898,2,00b,2010,12,8
899,1,00b,2011,01,1
900,1,00b,2011,01,18
901,2,00b,2011,01,5
902,1,00b,2011,01,6
903,1,00b,2011,01,9
904,1,00b,2011,02,10
905,1,00b,2011,02,13
906,1,00b,2011,02,18
907,1,00b,2011,02,20
908,1,00b,2011,02,23
909,1,00b,2011,03,17
910,1,00b,2011,04,12
911,1,00b,2011,04,19
912,1,00b,2011,04,5
913,1,00b,2011,05,15
914,2,00b,2011,05,2
915,1,00b,2011,06,15
916,1,00b,2011,07,14
917,1,00b,2011,07,17
918,1,00b,2011,07,22
919,2,00b,2011,07,23
920,1,00b,2011,08,12
921,1,00b,2011,08,13
922,1,00b,2011,08,14
923,1,00b,2011,08,19
924,1,00b,2011,09,0
925,1,00b,2011,09,11
926,1,00b,2011,09,13
927,1,00b,2011,09,17
928,1,00b,2011,09,22
929,1,00b,2011,09,23
930,1,00b,2011,09,3
931,1,00b,2011,09,6
932,1,00b,2011,09,7
933,1,00b,2011,10,12
934,2,00b,2011,10,17
935,1,00b,2011,11,1
936,1,00b,2011,11,12
937,1,00b,2011,11,13
938,1,00b,2011,11,15
939,1,00b,2011,11,2
940,1,00b,2011,11,4
941,1,00b,2011,11,6
942,1,00b,2011,11,9
943,1,00b,2011,12,10
944,1,00b,2011,12,17
945,1,00b,2011,12,18
946,1,00b,2011,12,20
947,1,00b,2011,12,6
948,1,00b,2012,02,16
949,1,00b,2012,02,22
950,1,00b,2012,02,3
951,1,00b,2012,03,10
952,1,00b,2012,03,15
953,1,00b,2012,03,18
954,1,00b,2012,04,0
955,1,00b,2012,04,12
956,2,00b,2012,04,14
957,1,00b,2012,04,17
958,1,00b,2012,04,3
959,1,00b,2012,05,18
960,1,00b,2012,05,21
961,1,00b,2012,06,1
962,2,00b,2012,06,11
963,1,00b,2012,06,13
964,1,00b,2012,06,19
965,1,00b,2012,06,23
966,1,00b,2012,06,9
967,1,00b,2012,07,10
968,1,00b,2012,07,11
969,1,00b,2012,07,16
970,1,00b,2012,07,17
971,2,00b,2012,07,22
972,2,00b,2012,07,6
973,2,00b,2012,07,8
974,2,00b,2012,08,0
975,1,00b,2012,08,1
976,1,00b,2012,08,21
977,1,00b,2012,08,3
978,1,00b,2012,08,8
979,1,00b,2012,09,11
980,1,00b,2012,09,16
981,2,00b,2012,09,17
982,1,00b,2012,09,20
983,1,00b,2012,09,5
984,1,00b,2012,09,8
985,1,00b,2012,09,9
986,1,00b,2012,10,15
987,1,00b,2012,10,18
988,1,00b,2012,10,19
989,1,00b,2012,10,21
990,1,00b,2012,10,22
991,1,00b,2012,10,4
992,2,00b,2012,10,6
993,1,00b,2012,11,0
994,1,00b,2012,11,10
995,1,00b,2012,11,2
996,1,00b,2012,12,10
997,1,00b,2012,12,11
